-,00:00 - 02:00,02:00 - 04:00,04:00 - 06:00,06:00 - 08:00,08:00 - 10:00,10:00 - 12:00,12:00 - 14:00,14:00 - 16:00,16:00 - 18:00,18:00 - 20:00,20:00 - 22:00,22:00 - 00:00
Sunday 2019-09-22,Tăng nhẹ,Giảm nhẹ,-,Giảm nhẹ,Giảm mạnh,-,Tăng nhẹ,-,-,Tăng nhẹ,-,Giảm khá
Monday 2019-09-23,-,-,-,Giảm nhẹ,Giảm nhẹ,-,-,Tăng nhẹ,-,-,-,-
Tuesday 2019-09-24,Tăng nhẹ,Giảm khá,Giảm khá,-,-,-,Tăng nhẹ,Giảm khá,-,Giảm nhẹ,What the *,Giảm khá
Wednesday 2019-09-25,What the *,What the *,Tăng tốt,Tăng nhẹ,Giảm mạnh,-,Giảm khá,Giảm mạnh,Tăng tốt,Giảm khá,Tăng nhẹ,Tăng ổn
Thursday 2019-09-26,Giảm nhẹ,Tăng tốt,-,-,Giảm khá,-,-,Tăng nhẹ,Tăng ổn,-,What the *,Giảm mạnh
Friday 2019-09-27,Tăng tốt,-,Tăng ổn,Giảm khá,-,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,-,Giảm nhẹ,-,Tăng nhẹ
Saturday 2019-09-28,-,Tăng ổn,Tăng ổn,-,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm khá,Giảm khá,Giảm nhẹ,Tăng nhẹ
Sunday 2019-09-29,Tăng nhẹ,Tăng nhẹ,-,-,Giảm nhẹ,Giảm nhẹ,-,-,Giảm nhẹ,Giảm mạnh,-,Tăng ổn
Monday 2019-09-30,Giảm nhẹ,-,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Giảm khá,Tăng nhẹ,Tăng nhẹ,Tăng tốt,Giảm nhẹ,Tăng tốt,Giảm nhẹ
Tuesday 2019-10-01,Tăng ổn,Giảm khá,Tăng nhẹ,Tăng ổn,Tăng tốt,-,Giảm nhẹ,-,Giảm khá,Giảm nhẹ,-,Tăng nhẹ
Wednesday 2019-10-02,Giảm khá,-,Giảm khá,-,Giảm khá,Giảm nhẹ,Tăng nhẹ,-,Tăng ổn,Giảm mạnh,-,-
Thursday 2019-10-03,-,-,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,-,Giảm nhẹ,Giảm nhẹ,Giảm khá,Tăng nhẹ,Giảm mạnh,Tăng ổn
Friday 2019-10-04,Giảm nhẹ,-,Tăng ổn,Giảm nhẹ,-,Giảm nhẹ,Tăng nhẹ,-,Tăng nhẹ,-,Tăng nhẹ,Tăng ổn
Saturday 2019-10-05,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm khá,-,-,-,Giảm nhẹ,Tăng nhẹ,Giảm khá,-,Tăng nhẹ
Sunday 2019-10-06,-,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm khá,Giảm nhẹ,-,Tăng nhẹ,Giảm nhẹ,Tăng ổn
Monday 2019-10-07,Giảm mạnh,Tăng nhẹ,-,Tăng nhẹ,-,Tăng nhẹ,-,Tăng ổn,Tăng nhẹ,Tăng ổn,Tăng nhẹ,Tăng ổn
Tuesday 2019-10-08,Giảm khá,Giảm nhẹ,Tăng ổn,Giảm nhẹ,Tăng ổn,Giảm nhẹ,-,Giảm khá,-,Tăng nhẹ,-,-
Wednesday 2019-10-09,Tăng nhẹ,-,Tăng nhẹ,-,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng tốt,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,-
Thursday 2019-10-10,-,Tăng nhẹ,Tăng nhẹ,-,Giảm nhẹ,Giảm nhẹ,-,Giảm khá,Giảm khá,Tăng nhẹ,Tăng nhẹ,-
Friday 2019-10-11,Tăng nhẹ,Giảm nhẹ,-,Giảm nhẹ,-,Tăng ổn,Giảm mạnh,Giảm nhẹ,Tăng ổn,-,Giảm nhẹ,-
Saturday 2019-10-12,-,-,-,-,-,Tăng nhẹ,-,-,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ
Sunday 2019-10-13,Giảm nhẹ,Tăng nhẹ,-,-,Tăng nhẹ,-,-,Tăng nhẹ,-,Tăng nhẹ,-,Tăng nhẹ
Monday 2019-10-14,Tăng nhẹ,Giảm khá,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,-,-,Giảm nhẹ,-,Tăng nhẹ
Tuesday 2019-10-15,Tăng nhẹ,Giảm nhẹ,-,Tăng nhẹ,Tăng nhẹ,-,-,Giảm nhẹ,Tăng nhẹ,-,Giảm khá,Giảm nhẹ
Wednesday 2019-10-16,Giảm nhẹ,Tăng nhẹ,-,Tăng ổn,Giảm khá,-,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ,Giảm mạnh,Giảm nhẹ,Tăng nhẹ
Thursday 2019-10-17,Giảm nhẹ,Tăng nhẹ,-,Giảm nhẹ,-,Giảm nhẹ,Tăng nhẹ,Tăng tốt,-,-,-,Tăng nhẹ
Friday 2019-10-18,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng tốt,-,-,Giảm mạnh,Giảm nhẹ,-,Tăng nhẹ,Giảm nhẹ,-
Saturday 2019-10-19,-,-,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,-,-,Giảm nhẹ,Tăng nhẹ,-,Giảm nhẹ
Sunday 2019-10-20,-,-,-,-,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,-,-,-,Tăng nhẹ,Tăng nhẹ
Monday 2019-10-21,Tăng nhẹ,Tăng ổn,Giảm nhẹ,-,Giảm nhẹ,Tăng ổn,-,Giảm nhẹ,Tăng tốt,Giảm nhẹ,-,Giảm khá
Tuesday 2019-10-22,Tăng nhẹ,-,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,-,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,-
Wednesday 2019-10-23,-,Giảm nhẹ,-,Giảm nhẹ,-,Giảm nhẹ,-,-,-,What the *,Giảm nhẹ,Giảm nhẹ
Thursday 2019-10-24,Tăng ổn,Tăng nhẹ,Giảm khá,-,Giảm nhẹ,-,Giảm nhẹ,Tăng ổn,Tăng nhẹ,Tăng nhẹ,Tăng ổn,-
Friday 2019-10-25,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,-,Giảm khá,-,Tăng nhẹ,Tăng nhẹ,Tăng ổn,Tăng nhẹ,Wow!!!
Saturday 2019-10-26,Tăng ổn,-,Tăng nhẹ,Wow!!!,Wow!!!,Tăng tốt,Giảm khá,Giảm mạnh,Giảm nhẹ,-,Giảm khá,Tăng ổn
Sunday 2019-10-27,Tăng tốt,-,Tăng nhẹ,Wow!!!,Giảm khá,Giảm khá,Wow!!!,Giảm khá,Wow!!!,Tăng ổn,Wow!!!,Giảm nhẹ
Monday 2019-10-28,Giảm nhẹ
